job;marital;education;default;housing;loan;contact;month;poutcome;Fac-age;Fac-balance;Fac-duration;Fac-campaign;Fac-pday;Fac-pervious;y
self-employed;married;secondary;no;yes;no;cellular;nov;failure;mid;normal;long;new;old;old;no
housemaid;single;tertiary;no;no;no;cellular;feb;success;young;normal;normal;repeat;old;old;yes
technician;married;secondary;no;no;no;cellular;aug;unknown;mid;rich;long;repeat;new;new;no
blue-collar;single;unknown;no;no;no;unknown;may;unknown;mid;normal;long;try-harder;new;new;no
blue-collar;married;secondary;yes;yes;no;unknown;may;unknown;mid;bust;normal;repeat;new;new;no
technician;divorced;secondary;no;yes;yes;cellular;aug;unknown;mid;rich;long;try-harder;new;new;no
blue-collar;married;secondary;no;yes;no;telephone;jul;unknown;mid;normal;overtime;repeat;new;new;no
technician;married;secondary;no;no;no;cellular;aug;unknown;mid;rich;short;new;new;new;no
management;divorced;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
unknown;married;primary;no;yes;yes;cellular;apr;success;mid;normal;overtime;repeat;old;old;yes
admin.;married;secondary;no;yes;no;cellular;may;failure;mid;normal;overtime;repeat;old;old;yes
blue-collar;married;secondary;no;yes;yes;unknown;may;unknown;mid;normal;long;repeat;new;new;no
admin.;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;overtime;repeat;new;new;no
unemployed;divorced;secondary;no;no;no;telephone;aug;unknown;mid;normal;short;try-harder;new;new;no
management;single;tertiary;no;yes;no;cellular;jun;failure;young;normal;long;new;old;old;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;young;normal;long;repeat;new;new;no
blue-collar;married;primary;no;yes;no;telephone;feb;failure;mid;normal;long;repeat;old;old;no
admin.;single;secondary;no;no;no;cellular;jan;other;young;normal;normal;new;old;old;no
admin.;married;secondary;no;no;no;cellular;jul;unknown;mid;normal;overtime;repeat;new;new;no
technician;married;secondary;no;no;yes;cellular;jul;unknown;mid;bust;overtime;new;new;new;yes
technician;married;tertiary;no;yes;no;cellular;may;unknown;mid;normal;long;new;new;new;no
technician;married;secondary;no;no;no;cellular;aug;unknown;mid;bust;overtime;repeat;new;new;no
housemaid;married;primary;no;no;yes;cellular;aug;unknown;mid;normal;long;new;new;new;no
entrepreneur;married;tertiary;no;yes;no;cellular;may;unknown;mid;normal;short;repeat;new;new;no
admin.;married;secondary;no;yes;no;unknown;may;unknown;mid;bust;long;repeat;new;new;no
blue-collar;married;primary;no;no;no;telephone;nov;unknown;mid;rich;long;repeat;new;new;no
services;married;secondary;no;yes;no;cellular;may;unknown;mid;normal;short;new;new;new;no
services;married;secondary;no;no;yes;cellular;aug;unknown;mid;normal;overtime;repeat;new;new;no
retired;married;secondary;no;yes;yes;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
technician;married;secondary;no;no;no;cellular;aug;unknown;mid;rich;long;repeat;new;new;no
technician;married;secondary;no;yes;no;cellular;apr;unknown;mid;bust;overtime;new;new;new;no
services;married;secondary;no;yes;no;cellular;may;unknown;mid;normal;long;repeat;new;new;no
blue-collar;single;secondary;no;yes;no;unknown;may;unknown;young;normal;overtime;new;new;new;no
management;married;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;try-harder;new;new;no
admin.;single;secondary;no;no;yes;cellular;jul;unknown;mid;bust;long;new;new;new;no
management;divorced;tertiary;no;no;no;cellular;jul;failure;mid;normal;long;repeat;old;old;no
blue-collar;single;primary;no;no;no;cellular;jul;unknown;mid;normal;overtime;repeat;new;new;no
unemployed;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
services;single;secondary;no;yes;no;cellular;jul;unknown;young;normal;overtime;try-harder;new;new;no
management;married;unknown;no;no;no;unknown;jun;unknown;mid;rich;overtime;repeat;new;new;no
student;single;tertiary;no;no;no;cellular;mar;success;young;normal;normal;new;old;old;yes
housemaid;married;secondary;no;yes;yes;telephone;jul;unknown;young;rich;normal;repeat;new;new;no
blue-collar;single;secondary;no;yes;no;cellular;may;unknown;mid;normal;long;new;new;new;no
unknown;married;secondary;no;no;no;telephone;mar;unknown;old;normal;long;try-harder;new;new;no
blue-collar;single;secondary;no;yes;no;unknown;jun;unknown;mid;rich;normal;repeat;new;new;no
admin.;single;tertiary;no;no;no;cellular;apr;unknown;young;normal;long;repeat;new;new;no
management;single;tertiary;no;yes;no;unknown;jun;unknown;mid;normal;overtime;try-harder;new;new;no
technician;single;secondary;no;no;no;telephone;oct;unknown;mid;normal;overtime;new;new;new;yes
management;married;tertiary;no;yes;no;cellular;feb;unknown;mid;normal;normal;new;new;new;no
admin.;married;secondary;no;no;no;cellular;aug;failure;mid;normal;long;new;old;old;no
self-employed;married;tertiary;no;no;no;cellular;aug;failure;mid;normal;short;new;old;old;no
entrepreneur;married;secondary;no;yes;no;cellular;jul;unknown;mid;normal;overtime;new;new;new;no
management;single;tertiary;no;no;yes;unknown;jul;unknown;mid;normal;normal;repeat;new;new;no
management;single;tertiary;no;yes;no;cellular;may;unknown;young;normal;overtime;new;new;new;no
technician;divorced;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
management;single;tertiary;no;no;no;telephone;dec;other;mid;rich;overtime;new;old;old;yes
services;divorced;primary;no;yes;no;cellular;may;success;mid;normal;overtime;new;old;old;yes
self-employed;married;secondary;no;yes;no;unknown;jun;unknown;mid;rich;overtime;new;new;new;no
admin.;divorced;tertiary;no;yes;no;unknown;may;unknown;mid;normal;short;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;normal;repeat;new;new;no
management;single;tertiary;no;yes;no;cellular;nov;unknown;mid;normal;long;repeat;new;new;no
technician;married;secondary;no;yes;no;cellular;nov;unknown;mid;rich;long;new;new;new;no
blue-collar;married;primary;no;no;no;cellular;apr;success;mid;normal;long;new;old;old;yes
management;married;primary;no;no;no;unknown;jun;unknown;mid;rich;normal;new;new;new;no
blue-collar;married;primary;no;no;no;unknown;may;unknown;mid;normal;long;new;new;new;no
management;single;tertiary;no;no;no;cellular;jul;unknown;young;rich;long;repeat;new;new;no
admin.;single;secondary;no;yes;no;unknown;jun;unknown;mid;rich;long;repeat;new;new;no
admin.;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;overtime;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
blue-collar;married;primary;no;yes;no;unknown;may;unknown;mid;normal;normal;new;new;new;no
admin.;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;secondary;no;no;no;unknown;may;unknown;young;normal;normal;new;new;new;no
blue-collar;married;primary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
management;married;tertiary;no;yes;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
technician;married;tertiary;no;yes;no;cellular;jan;unknown;mid;normal;short;new;new;new;no
management;married;tertiary;no;yes;no;cellular;nov;unknown;mid;rich;overtime;repeat;new;new;yes
admin.;married;secondary;no;yes;no;cellular;nov;unknown;mid;rich;normal;new;new;new;no
management;married;secondary;no;yes;no;unknown;may;unknown;mid;rich;long;try-harder;new;new;no
management;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
management;married;primary;no;no;no;cellular;aug;unknown;mid;rich;long;try-harder;new;new;no
technician;married;tertiary;no;no;no;cellular;aug;unknown;mid;normal;overtime;try-harder;new;new;yes
management;single;tertiary;yes;no;yes;cellular;jul;unknown;young;normal;short;new;new;new;no
entrepreneur;married;tertiary;no;yes;no;cellular;nov;unknown;mid;normal;long;repeat;new;new;no
technician;single;secondary;yes;no;no;cellular;aug;unknown;mid;normal;overtime;repeat;new;new;yes
technician;married;secondary;no;no;no;cellular;jul;unknown;mid;normal;normal;repeat;new;new;no
housemaid;married;tertiary;no;no;no;unknown;jun;unknown;mid;normal;overtime;new;new;new;no
technician;married;secondary;no;yes;no;cellular;may;unknown;mid;normal;overtime;repeat;new;new;no
entrepreneur;married;tertiary;no;no;no;cellular;nov;unknown;mid;rich;normal;new;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;apr;failure;mid;normal;long;new;old;old;no
retired;married;primary;no;yes;no;cellular;feb;failure;mid;bust;normal;new;old;old;no
services;married;secondary;no;yes;yes;cellular;apr;unknown;mid;normal;normal;repeat;new;new;no
technician;married;secondary;no;yes;yes;cellular;nov;unknown;mid;normal;normal;new;new;new;no
retired;married;primary;no;no;no;cellular;aug;unknown;mid;bust;normal;try-harder;new;new;no
management;married;tertiary;no;yes;no;unknown;jun;unknown;mid;normal;normal;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;rich;long;new;new;new;no
housemaid;married;unknown;no;no;no;cellular;apr;other;mid;normal;normal;try-harder;old;old;no
retired;divorced;secondary;no;no;no;cellular;aug;other;mid;normal;overtime;new;old;old;yes
admin.;married;secondary;no;no;no;cellular;oct;success;mid;rich;overtime;new;old;old;yes
management;married;tertiary;no;yes;yes;cellular;may;other;young;bust;overtime;repeat;old;old;yes
services;single;secondary;no;no;no;unknown;oct;unknown;mid;normal;short;new;new;new;no
management;married;tertiary;no;yes;no;cellular;aug;unknown;mid;rich;overtime;try-harder;new;new;no
management;single;tertiary;no;no;no;cellular;sep;unknown;mid;normal;long;new;new;new;no
management;married;tertiary;no;yes;no;cellular;may;unknown;mid;rich;overtime;new;new;new;yes
housemaid;married;primary;no;no;no;cellular;apr;unknown;mid;rich;normal;new;new;new;no
services;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;apr;unknown;mid;normal;short;repeat;new;new;no
student;single;secondary;no;no;no;cellular;dec;unknown;young;normal;overtime;new;new;new;no
blue-collar;married;primary;no;yes;no;unknown;may;unknown;mid;normal;overtime;repeat;new;new;no
management;married;primary;no;no;no;cellular;nov;unknown;mid;rich;long;repeat;new;new;yes
services;single;secondary;no;yes;no;cellular;apr;other;mid;normal;overtime;repeat;old;old;no
management;married;tertiary;no;yes;no;cellular;aug;unknown;mid;normal;normal;try-harder;new;new;no
entrepreneur;married;tertiary;no;yes;yes;unknown;may;unknown;mid;normal;overtime;new;new;new;no
admin.;married;secondary;no;yes;no;unknown;jul;unknown;young;normal;short;repeat;new;new;no
blue-collar;married;secondary;no;no;yes;unknown;jul;unknown;mid;bust;long;new;new;new;no
management;single;tertiary;yes;yes;no;cellular;aug;unknown;mid;bust;normal;try-harder;new;new;no
housemaid;married;primary;no;no;no;cellular;aug;unknown;mid;normal;overtime;repeat;new;new;no
blue-collar;single;secondary;no;no;no;unknown;may;unknown;young;normal;normal;repeat;new;new;no
technician;single;secondary;no;yes;no;cellular;nov;failure;mid;normal;long;new;old;old;no
blue-collar;married;primary;no;yes;no;cellular;may;failure;mid;normal;long;repeat;old;old;no
management;married;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
services;single;secondary;no;yes;no;cellular;may;unknown;young;bust;long;new;new;new;no
services;married;secondary;no;yes;no;cellular;jul;unknown;mid;normal;normal;repeat;new;new;no
self-employed;single;tertiary;no;yes;no;cellular;may;unknown;mid;rich;overtime;repeat;new;new;yes
entrepreneur;married;tertiary;no;no;no;cellular;jul;unknown;mid;normal;short;try-harder;new;new;no
management;married;tertiary;no;yes;no;cellular;nov;unknown;mid;rich;long;repeat;new;new;no
retired;divorced;primary;no;no;no;unknown;jun;unknown;mid;normal;short;repeat;new;new;no
technician;married;tertiary;no;yes;no;cellular;may;unknown;mid;normal;overtime;repeat;new;new;no
admin.;single;tertiary;no;yes;yes;cellular;apr;unknown;mid;normal;long;new;new;new;yes
blue-collar;married;primary;no;yes;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
unknown;married;unknown;no;no;no;cellular;aug;unknown;old;rich;long;new;new;new;no
management;single;secondary;no;yes;no;unknown;may;unknown;mid;normal;overtime;repeat;new;new;no
retired;married;primary;no;no;no;unknown;jun;unknown;mid;rich;long;try-harder;new;new;no
technician;divorced;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
technician;married;secondary;no;no;no;telephone;jul;unknown;mid;rich;short;repeat;new;new;no
management;married;tertiary;no;no;no;cellular;nov;unknown;mid;normal;overtime;new;new;new;no
self-employed;married;primary;no;yes;no;unknown;may;unknown;mid;normal;normal;new;new;new;no
management;married;tertiary;no;yes;yes;cellular;may;unknown;mid;normal;long;repeat;new;new;no
blue-collar;divorced;primary;no;yes;no;unknown;may;unknown;mid;normal;short;new;new;new;no
self-employed;married;secondary;no;yes;yes;cellular;jan;failure;mid;rich;long;repeat;old;old;no
technician;single;secondary;no;no;no;cellular;jul;unknown;young;normal;long;try-harder;new;new;no
retired;married;primary;no;no;no;unknown;may;unknown;mid;normal;long;new;new;new;no
services;married;secondary;no;yes;no;unknown;may;unknown;mid;bust;short;repeat;new;new;no
management;married;tertiary;yes;yes;no;cellular;may;other;mid;bust;short;try-harder;old;old;no
admin.;married;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;try-harder;new;new;no
retired;married;tertiary;no;no;no;cellular;jan;success;old;normal;long;new;old;old;yes
management;single;tertiary;no;yes;no;unknown;may;unknown;mid;normal;normal;new;new;new;no
blue-collar;married;secondary;no;yes;yes;unknown;jun;unknown;mid;normal;short;new;new;new;no
blue-collar;single;secondary;no;no;no;cellular;may;failure;mid;normal;normal;new;old;old;no
management;married;tertiary;no;yes;no;unknown;may;unknown;mid;normal;overtime;repeat;new;new;no
technician;divorced;tertiary;no;yes;no;cellular;nov;unknown;mid;normal;normal;new;new;new;no
services;single;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;primary;no;yes;no;cellular;may;failure;mid;normal;short;repeat;old;old;no
unknown;single;tertiary;no;no;no;cellular;feb;unknown;mid;rich;short;repeat;new;new;no
services;married;secondary;no;yes;no;cellular;jul;unknown;mid;normal;overtime;try-harder;new;new;no
admin.;married;secondary;no;yes;no;telephone;may;unknown;mid;bust;short;try-harder;new;new;no
blue-collar;single;tertiary;no;yes;yes;unknown;may;unknown;mid;normal;long;new;new;new;no
unknown;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
admin.;single;secondary;no;yes;no;unknown;may;unknown;mid;rich;long;new;new;new;no
admin.;married;tertiary;no;no;no;unknown;jun;unknown;mid;normal;long;new;new;new;no
management;married;tertiary;no;no;no;unknown;jun;unknown;mid;rich;overtime;new;new;new;no
entrepreneur;married;unknown;no;no;no;cellular;nov;unknown;mid;normal;long;try-harder;new;new;no
blue-collar;divorced;secondary;no;yes;no;cellular;apr;unknown;mid;normal;long;repeat;new;new;yes
management;married;secondary;no;yes;no;unknown;may;unknown;mid;bust;overtime;repeat;new;new;no
technician;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;normal;try-harder;new;new;no
management;married;tertiary;no;yes;no;cellular;nov;failure;mid;normal;long;repeat;old;old;no
services;married;secondary;no;no;no;cellular;may;unknown;mid;normal;overtime;new;new;new;no
admin.;divorced;secondary;no;yes;no;cellular;may;failure;mid;normal;short;new;old;old;no
technician;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;normal;new;new;new;no
technician;divorced;secondary;no;no;no;cellular;aug;unknown;mid;bust;long;repeat;new;new;no
student;single;secondary;no;no;no;unknown;jun;unknown;young;bust;normal;repeat;new;new;no
technician;single;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;primary;no;yes;no;cellular;may;failure;mid;normal;long;new;old;old;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;short;repeat;new;new;no
entrepreneur;married;tertiary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
entrepreneur;divorced;secondary;no;yes;yes;unknown;jun;unknown;mid;normal;short;try-harder;new;new;no
housemaid;divorced;secondary;no;no;no;cellular;oct;success;mid;normal;long;repeat;old;old;yes
blue-collar;single;secondary;no;no;no;cellular;feb;unknown;young;rich;long;repeat;new;new;no
technician;married;secondary;no;yes;no;cellular;jun;unknown;mid;normal;long;new;new;new;no
admin.;married;tertiary;no;yes;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
technician;married;unknown;no;no;no;unknown;may;unknown;mid;normal;overtime;repeat;new;new;no
admin.;married;secondary;no;yes;no;unknown;jun;unknown;mid;rich;normal;new;new;new;no
technician;married;secondary;no;yes;no;unknown;may;unknown;mid;rich;long;repeat;new;new;no
management;married;tertiary;no;yes;yes;unknown;may;unknown;mid;normal;long;new;new;new;no
self-employed;married;tertiary;no;no;yes;cellular;jul;unknown;mid;rich;normal;new;new;new;no
technician;single;secondary;no;yes;no;unknown;may;unknown;young;normal;overtime;repeat;new;new;no
technician;married;secondary;no;yes;yes;cellular;feb;failure;mid;normal;overtime;try-harder;old;old;no
management;married;secondary;yes;no;no;cellular;feb;unknown;mid;bust;long;new;new;new;no
blue-collar;married;unknown;no;yes;no;cellular;may;unknown;mid;rich;overtime;repeat;new;new;yes
admin.;married;secondary;no;yes;yes;cellular;jul;unknown;mid;normal;normal;try-harder;new;new;no
unemployed;married;secondary;no;no;no;cellular;feb;unknown;mid;rich;long;repeat;new;new;no
blue-collar;single;tertiary;no;yes;no;unknown;jun;unknown;mid;rich;short;new;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;apr;unknown;mid;normal;long;try-harder;new;new;no
self-employed;married;tertiary;no;no;no;cellular;aug;unknown;mid;rich;long;try-harder;new;new;no
technician;married;tertiary;no;no;no;cellular;aug;unknown;mid;normal;short;repeat;new;new;no
admin.;single;unknown;no;no;no;cellular;feb;unknown;mid;rich;long;repeat;new;new;yes
self-employed;married;secondary;no;no;yes;cellular;aug;unknown;mid;normal;long;try-harder;new;new;no
blue-collar;divorced;secondary;no;yes;no;cellular;may;failure;mid;normal;overtime;new;old;old;no
services;single;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
retired;married;secondary;no;no;no;cellular;nov;unknown;mid;rich;long;new;new;new;no
management;married;tertiary;no;no;no;cellular;aug;unknown;mid;rich;long;repeat;new;new;no
technician;single;secondary;no;no;no;cellular;feb;unknown;mid;normal;overtime;repeat;new;new;no
technician;married;secondary;no;yes;no;cellular;jul;unknown;mid;rich;long;new;new;new;no
technician;married;secondary;no;yes;no;cellular;nov;failure;mid;rich;long;repeat;old;old;no
management;divorced;tertiary;no;no;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
unknown;married;tertiary;no;no;no;cellular;jan;failure;old;normal;long;new;old;old;no
blue-collar;married;secondary;no;yes;yes;cellular;aug;unknown;mid;normal;normal;new;new;new;no
entrepreneur;married;primary;no;yes;no;telephone;sep;unknown;mid;normal;long;repeat;new;new;yes
blue-collar;divorced;secondary;no;no;no;cellular;jul;unknown;mid;normal;overtime;repeat;new;new;no
technician;single;tertiary;no;yes;no;cellular;apr;failure;mid;normal;long;new;old;old;no
services;divorced;secondary;no;yes;no;cellular;jul;unknown;mid;normal;long;new;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;may;failure;mid;normal;short;try-harder;old;old;no
technician;single;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
self-employed;single;tertiary;no;no;no;cellular;jul;unknown;mid;rich;long;repeat;new;new;no
retired;married;secondary;no;no;no;telephone;jul;unknown;old;rich;long;repeat;new;new;no
admin.;divorced;secondary;no;yes;yes;cellular;apr;unknown;mid;normal;long;repeat;new;new;no
services;married;secondary;no;yes;no;cellular;nov;failure;mid;rich;short;try-harder;old;old;no
technician;married;unknown;no;no;no;unknown;jun;unknown;mid;normal;overtime;repeat;new;new;no
retired;married;primary;no;no;no;telephone;aug;unknown;old;normal;short;new;new;new;no
unemployed;married;primary;no;yes;no;telephone;jan;unknown;mid;normal;long;new;new;new;no
admin.;divorced;secondary;no;no;no;cellular;may;other;mid;normal;long;new;old;old;no
technician;single;secondary;no;no;no;cellular;may;failure;young;normal;long;new;old;old;no
management;single;tertiary;no;no;no;cellular;aug;other;young;normal;long;repeat;old;old;no
services;married;secondary;no;no;no;cellular;nov;unknown;mid;rich;overtime;repeat;new;new;no
blue-collar;married;secondary;no;yes;yes;unknown;may;unknown;young;normal;long;repeat;new;new;no
admin.;married;secondary;no;no;no;unknown;jun;unknown;mid;normal;normal;new;new;new;no
technician;divorced;secondary;no;no;yes;cellular;aug;unknown;mid;normal;normal;new;new;new;no
admin.;single;secondary;no;no;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;jun;unknown;young;rich;overtime;repeat;new;new;yes
management;single;secondary;no;yes;no;unknown;may;unknown;mid;normal;normal;repeat;new;new;no
technician;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;normal;try-harder;new;new;no
technician;single;tertiary;no;no;no;telephone;aug;unknown;mid;normal;normal;repeat;new;new;no
retired;married;secondary;no;no;no;cellular;apr;failure;old;normal;long;repeat;old;old;no
services;married;secondary;no;yes;no;telephone;aug;failure;mid;rich;long;repeat;old;old;no
technician;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;normal;try-harder;new;new;no
blue-collar;single;secondary;no;no;no;cellular;nov;unknown;mid;rich;overtime;new;new;new;no
services;divorced;secondary;no;no;no;unknown;jul;unknown;mid;bust;long;repeat;new;new;no
services;single;secondary;no;yes;no;cellular;nov;failure;mid;normal;normal;repeat;old;old;no
admin.;married;secondary;no;yes;no;cellular;jan;other;young;normal;normal;repeat;old;old;no
blue-collar;married;primary;no;no;no;unknown;may;unknown;mid;normal;overtime;try-harder;new;new;no
management;married;tertiary;no;yes;yes;unknown;jun;failure;mid;normal;short;new;old;old;no
management;married;primary;no;no;no;unknown;jun;unknown;mid;rich;short;repeat;new;new;no
technician;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;overtime;repeat;new;new;no
blue-collar;married;primary;no;yes;no;cellular;apr;failure;mid;normal;long;new;old;old;no
blue-collar;divorced;secondary;no;yes;no;cellular;jan;unknown;mid;normal;overtime;new;new;new;no
management;married;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
entrepreneur;married;secondary;no;yes;no;unknown;may;unknown;mid;bust;normal;repeat;new;new;no
blue-collar;married;primary;no;yes;no;cellular;may;failure;mid;rich;long;try-harder;old;old;no
management;single;secondary;no;yes;no;unknown;jun;unknown;young;normal;overtime;try-harder;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;jul;unknown;mid;normal;overtime;new;new;new;no
management;married;tertiary;no;no;no;cellular;mar;failure;mid;normal;overtime;new;old;old;no
unemployed;married;primary;no;yes;yes;unknown;may;unknown;mid;normal;normal;repeat;new;new;no
management;married;tertiary;no;yes;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
management;single;tertiary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
admin.;married;secondary;no;no;no;telephone;jul;unknown;mid;rich;long;try-harder;new;new;no
blue-collar;married;primary;no;yes;no;telephone;jul;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;secondary;yes;yes;no;cellular;apr;other;mid;bust;overtime;new;old;old;yes
management;married;tertiary;no;no;no;cellular;oct;unknown;mid;normal;long;repeat;new;new;yes
technician;married;secondary;no;no;no;cellular;aug;unknown;mid;rich;long;repeat;new;new;no
technician;married;secondary;no;yes;no;cellular;oct;unknown;mid;normal;normal;repeat;new;new;no
retired;single;tertiary;no;no;no;cellular;jul;success;old;rich;overtime;new;old;old;yes
technician;single;tertiary;no;no;no;cellular;jun;unknown;mid;normal;normal;new;new;new;no
technician;married;secondary;no;no;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
entrepreneur;married;tertiary;no;yes;yes;cellular;may;failure;young;normal;long;new;old;old;no
technician;married;secondary;no;no;yes;cellular;nov;unknown;mid;normal;long;try-harder;new;new;no
technician;married;secondary;no;yes;no;cellular;may;unknown;mid;normal;long;new;new;new;no
management;single;tertiary;no;no;no;cellular;aug;unknown;mid;normal;normal;try-harder;new;new;no
management;married;tertiary;no;yes;no;cellular;apr;failure;mid;normal;short;new;old;old;no
blue-collar;married;primary;no;yes;no;unknown;may;unknown;mid;normal;overtime;repeat;new;new;no
management;married;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
management;divorced;tertiary;no;no;no;unknown;may;unknown;mid;normal;normal;repeat;new;new;no
services;married;secondary;no;no;no;unknown;jun;unknown;mid;normal;long;repeat;new;new;no
entrepreneur;married;secondary;no;no;no;cellular;nov;unknown;mid;normal;normal;try-harder;new;new;no
technician;single;secondary;no;yes;yes;cellular;feb;other;mid;normal;long;new;old;old;no
blue-collar;married;primary;no;yes;no;cellular;jan;other;mid;rich;long;repeat;old;old;no
retired;divorced;primary;no;no;no;telephone;may;unknown;old;normal;long;repeat;new;new;yes
blue-collar;married;primary;no;yes;yes;telephone;jul;unknown;mid;normal;overtime;repeat;new;new;no
management;married;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;new;new;new;no
services;divorced;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
admin.;married;primary;no;no;no;telephone;feb;unknown;mid;normal;long;repeat;new;new;no
self-employed;single;tertiary;no;no;no;unknown;jun;unknown;mid;normal;long;new;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;try-harder;new;new;no
technician;single;secondary;no;no;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
retired;married;unknown;no;yes;no;unknown;jun;unknown;mid;normal;normal;new;new;new;no
student;single;secondary;no;no;no;cellular;apr;unknown;young;normal;normal;repeat;new;new;yes
self-employed;married;tertiary;no;yes;no;unknown;jun;unknown;mid;normal;normal;repeat;new;new;no
retired;single;secondary;no;no;no;cellular;may;unknown;mid;normal;overtime;repeat;new;new;no
self-employed;single;tertiary;yes;yes;no;cellular;nov;unknown;mid;bust;long;repeat;new;new;no
management;married;tertiary;no;yes;no;cellular;apr;unknown;mid;bust;long;repeat;new;new;no
technician;divorced;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
blue-collar;divorced;primary;no;yes;no;unknown;jun;unknown;mid;normal;overtime;repeat;new;new;yes
self-employed;divorced;tertiary;no;yes;no;cellular;apr;unknown;mid;normal;normal;new;new;new;yes
technician;married;secondary;no;yes;yes;cellular;jul;unknown;mid;bust;overtime;new;new;new;yes
services;single;secondary;no;yes;no;cellular;may;failure;mid;normal;long;new;old;old;no
technician;single;tertiary;no;no;no;unknown;jun;unknown;mid;normal;long;new;new;new;no
admin.;divorced;secondary;no;yes;no;cellular;may;unknown;mid;normal;long;repeat;new;new;no
technician;married;secondary;no;yes;yes;cellular;aug;unknown;mid;bust;overtime;repeat;new;new;no
management;single;tertiary;no;yes;no;cellular;may;other;mid;normal;normal;repeat;old;old;no
management;married;tertiary;no;yes;no;cellular;feb;unknown;mid;rich;long;new;new;new;no
technician;married;secondary;no;yes;no;cellular;jul;unknown;mid;normal;overtime;repeat;new;new;no
management;married;secondary;no;yes;no;cellular;may;unknown;mid;normal;overtime;repeat;new;new;no
blue-collar;married;secondary;no;yes;yes;unknown;may;unknown;young;normal;long;repeat;new;new;no
unemployed;divorced;primary;no;no;no;telephone;feb;unknown;mid;normal;long;repeat;new;new;no
management;married;tertiary;no;yes;no;cellular;jul;unknown;mid;normal;long;try-harder;new;new;no
unknown;married;unknown;no;no;no;unknown;jun;unknown;mid;rich;short;repeat;new;new;no
housemaid;married;secondary;no;no;no;unknown;jun;unknown;mid;rich;long;new;new;new;no
blue-collar;divorced;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
